downtime_id,equipment_id,failure_date,repair_start_date,repair_end_date,downtime_hours,failure_type,failure_component,root_cause,maintenance_type,repair_cost
DT00015,EQ0002,2023-11-13,2023-11-13 04:00:00,2023-11-15 22:48:00,66.8,Electrical,Hydraulic Pump,Root cause analysis: Material fatigue,Reactive,1726.92
DT00016,EQ0002,2024-11-11,2024-11-11 07:00:00,2024-11-13 15:46:12,56.77,Electrical,Brake System,Root cause analysis: Operator error,Reactive,39475.04
DT00017,EQ0003,2025-02-22,2025-02-22 08:00:00,2025-02-24 23:03:00,63.05,Electrical,Alternator,Root cause analysis: Material fatigue,Reactive,17808.09
DT00018,EQ0003,2024-04-11,2024-04-11 04:00:00,2024-04-11 21:36:00,17.6,Engine,Cooling System,Root cause analysis: Design flaw,Preventive,43285.47
DT00019,EQ0003,2024-07-25,2024-07-25 07:00:00,2024-07-26 09:34:48,26.58,Structural,Cooling System,Root cause analysis: Wear and tear,Reactive,6209.42
DT00020,EQ0003,2024-06-18,2024-06-18 05:00:00,2024-06-18 19:30:00,14.5,Mechanical,Transmission,Root cause analysis: External damage,Predictive,22010.91
DT00021,EQ0003,2024-10-04,2024-10-04 02:00:00,2024-10-05 10:33:00,32.55,Engine,Bucket,Root cause analysis: Operator error,Preventive,13108.76
DT00022,EQ0003,2025-06-12,2025-06-12 04:00:00,2025-06-12 06:07:12,2.12,Hydraulic,Fuel System,Root cause analysis: Wear and tear,Reactive,47469.29
DT00023,EQ0003,2024-11-07,2024-11-07 02:00:00,2024-11-08 23:37:12,45.62,Hydraulic,Boom,Root cause analysis: Design flaw,Reactive,33511.2
DT00024,EQ0003,2024-10-30,2024-10-30 05:00:00,2024-10-31 11:10:12,30.17,Structural,Hydraulic Pump,Root cause analysis: Operator error,Preventive,21312.09
DT00025,EQ0004,2023-12-23,2023-12-23 05:00:00,2023-12-25 02:05:24,45.09,Engine,Boom,Root cause analysis: Wear and tear,Preventive,15541.81
DT00026,EQ0004,2024-03-06,2024-03-06 06:00:00,2024-03-07 14:05:24,32.09,Engine,Undercarriage,Root cause analysis: Material fatigue,Preventive,33943.55
DT00027,EQ0004,2025-11-12,2025-11-12 03:00:00,2025-11-13 14:07:12,35.12,Mechanical,Brake System,Root cause analysis: External damage,Preventive,33360.76
DT00028,EQ0004,2024-11-17,2024-11-17 04:00:00,2024-11-17 12:32:24,8.54,Hydraulic,Alternator,Root cause analysis: Operator error,Reactive,7794.02
DT00029,EQ0004,2023-04-05,2023-04-05 08:00:00,2023-04-06 03:08:24,19.14,Structural,Transmission,Root cause analysis: Material fatigue,Reactive,21014.83
DT00030,EQ0004,2024-02-03,2024-02-03 07:00:00,2024-02-05 11:16:48,52.28,Engine,Fuel System,Root cause analysis: Operator error,Reactive,7804.78
DT00031,EQ0004,2023-01-12,2023-01-12 02:00:00,2023-01-14 18:29:24,64.49,Engine,Alternator,Root cause analysis: Operator error,Preventive,40303.44
DT00032,EQ0004,2025-11-26,2025-11-26 04:00:00,2025-11-27 14:31:12,34.52,Mechanical,Undercarriage,Root cause analysis: Operator error,Preventive,40170.12
DT00033,EQ0004,2025-12-23,2025-12-23 06:00:00,2025-12-26 05:09:00,71.15,Engine,Bucket,Root cause analysis: External damage,Reactive,21623.67
DT00034,EQ0004,2025-07-02,2025-07-02 08:00:00,2025-07-05 00:48:00,64.8,Engine,Brake System,Root cause analysis: Operator error,Reactive,42073.21
DT00035,EQ0004,2024-07-21,2024-07-21 08:00:00,2024-07-23 15:36:36,55.61,Electrical,Brake System,Root cause analysis: Material fatigue,Reactive,4335.43
DT00036,EQ0004,2024-08-08,2024-08-08 06:00:00,2024-08-09 00:24:36,18.41,Hydraulic,Boom,Root cause analysis: Wear and tear,Reactive,7349.52
DT00037,EQ0004,2024-04-18,2024-04-18 03:00:00,2024-04-19 07:48:36,28.81,Electrical,Transmission,Root cause analysis: Material fatigue,Preventive,20676.17
DT00038,EQ0004,2025-08-12,2025-08-12 04:00:00,2025-08-13 11:06:00,31.1,Engine,Fuel System,Root cause analysis: External damage,Preventive,47330.07
DT00039,EQ0004,2023-02-10,2023-02-10 07:00:00,2023-02-12 20:58:12,61.97,Engine,Engine,Root cause analysis: Design flaw,Preventive,15281.33
DT00040,EQ0004,2025-03-09,2025-03-09 07:00:00,2025-03-11 20:44:24,61.74,Structural,Boom,Root cause analysis: External damage,Reactive,44941.66
DT00041,EQ0004,2025-09-26,2025-09-26 07:00:00,2025-09-27 00:21:36,17.36,Engine,Engine,Root cause analysis: Material fatigue,Reactive,17138.41
DT00042,EQ0005,2023-12-05,2023-12-05 03:00:00,2023-12-07 15:50:24,60.84,Structural,Boom,Root cause analysis: Wear and tear,Preventive,45392.98
DT00043,EQ0005,2023-02-25,2023-02-25 07:00:00,2023-02-25 14:52:48,7.88,Electrical,Undercarriage,Root cause analysis: Operator error,Preventive,2989.09
DT00044,EQ0005,2025-02-15,2025-02-15 08:00:00,2025-02-16 08:54:36,24.91,Hydraulic,Cooling System,Root cause analysis: Material fatigue,Reactive,14273.7
DT00045,EQ0005,2025-05-13,2025-05-13 02:00:00,2025-05-13 21:39:36,19.66,Engine,Engine,Root cause analysis: External damage,Preventive,3078.24
DT00046,EQ0005,2024-12-17,2024-12-17 02:00:00,2024-12-17 19:42:00,17.7,Mechanical,Engine,Root cause analysis: Operator error,Reactive,10368.35
DT00047,EQ0005,2023-02-11,2023-02-11 04:00:00,2023-02-13 01:29:24,45.49,Electrical,Undercarriage,Root cause analysis: Wear and tear,Reactive,28416.49
DT00048,EQ0005,2024-03-22,2024-03-22 05:00:00,2024-03-23 15:33:00,34.55,Hydraulic,Hydraulic Pump,Root cause analysis: External damage,Reactive,30558.75
DT00049,EQ0005,2023-08-23,2023-08-23 03:00:00,2023-08-25 11:27:00,56.45,Hydraulic,Transmission,Root cause analysis: External damage,Reactive,1771.08
DT00050,EQ0005,2024-09-30,2024-09-30 07:00:00,2024-10-02 01:18:36,42.31,Engine,Alternator,Root cause analysis: Wear and tear,Reactive,29808.84
DT00051,EQ0005,2024-05-12,2024-05-12 05:00:00,2024-05-12 14:07:48,9.13,Structural,Transmission,Root cause analysis: External damage,Reactive,39240.45
DT00052,EQ0005,2024-12-12,2024-12-12 06:00:00,2024-12-13 21:17:24,39.29,Mechanical,Boom,Root cause analysis: Design flaw,Preventive,1126.28
DT00053,EQ0005,2025-05-10,2025-05-10 02:00:00,2025-05-12 13:33:36,59.56,Engine,Cooling System,Root cause analysis: Material fatigue,Reactive,35511.78
DT00054,EQ0005,2025-06-10,2025-06-10 05:00:00,2025-06-10 19:19:48,14.33,Structural,Boom,Root cause analysis: Material fatigue,Reactive,23511.25
DT00055,EQ0005,2024-07-03,2024-07-03 04:00:00,2024-07-04 04:33:36,24.56,Mechanical,Brake System,Root cause analysis: Material fatigue,Predictive,12571.24
DT00056,EQ0005,2025-08-09,2025-08-09 07:00:00,2025-08-11 00:53:24,41.89,Hydraulic,Engine,Root cause analysis: Material fatigue,Reactive,42622.17
DT00057,EQ0005,2024-01-08,2024-01-08 06:00:00,2024-01-09 18:07:48,36.13,Hydraulic,Cooling System,Root cause analysis: Design flaw,Reactive,44075.84
DT00058,EQ0005,2024-07-19,2024-07-19 04:00:00,2024-07-20 20:54:36,40.91,Mechanical,Alternator,Root cause analysis: Material fatigue,Preventive,24684.6
DT00059,EQ0006,2025-09-02,2025-09-02 08:00:00,2025-09-04 07:12:36,47.21,Engine,Engine,Root cause analysis: Wear and tear,Reactive,15064.66
DT00060,EQ0006,2025-04-08,2025-04-08 05:00:00,2025-04-10 07:25:48,50.43,Structural,Cooling System,Root cause analysis: Material fatigue,Reactive,27896.91
DT00061,EQ0006,2024-12-05,2024-12-05 06:00:00,2024-12-06 13:47:24,31.79,Hydraulic,Undercarriage,Root cause analysis: Design flaw,Reactive,15677.84
DT00062,EQ0006,2024-04-17,2024-04-17 04:00:00,2024-04-17 14:27:00,10.45,Hydraulic,Transmission,Root cause analysis: External damage,Reactive,47568.44
DT00063,EQ0006,2024-01-15,2024-01-15 08:00:00,2024-01-15 23:24:36,15.41,Hydraulic,Bucket,Root cause analysis: External damage,Predictive,30041.14
DT00064,EQ0006,2023-07-25,2023-07-25 05:00:00,2023-07-27 17:16:48,60.28,Electrical,Cooling System,Root cause analysis: Operator error,Preventive,15462.25
DT00065,EQ0006,2025-12-29,2025-12-29 01:00:00,2025-12-29 11:51:36,10.86,Mechanical,Boom,Root cause analysis: Design flaw,Preventive,35022.16
DT00066,EQ0006,2023-09-16,2023-09-16 08:00:00,2023-09-18 06:39:00,46.65,Mechanical,Engine,Root cause analysis: External damage,Preventive,14574.8
DT00067,EQ0006,2025-09-07,2025-09-07 03:00:00,2025-09-08 11:49:48,32.83,Mechanical,Brake System,Root cause analysis: Material fatigue,Preventive,6147.31
DT00068,EQ0006,2023-05-14,2023-05-14 02:00:00,2023-05-15 08:03:00,30.05,Structural,Engine,Root cause analysis: Operator error,Reactive,7885.28
DT00069,EQ0006,2024-09-14,2024-09-14 04:00:00,2024-09-14 11:57:36,7.96,Mechanical,Boom,Root cause analysis: Material fatigue,Preventive,30512.72
DT00070,EQ0006,2024-04-07,2024-04-07 07:00:00,2024-04-09 15:18:00,56.3,Engine,Undercarriage,Root cause analysis: Design flaw,Reactive,43078.25
DT00071,EQ0007,2024-09-17,2024-09-17 01:00:00,2024-09-18 18:48:00,41.8,Structural,Transmission,Root cause analysis: Operator error,Preventive,31462.99
DT00072,EQ0007,2024-06-25,2024-06-25 03:00:00,2024-06-27 03:13:48,48.23,Electrical,Hydraulic Pump,Root cause analysis: External damage,Preventive,4215.71
DT00073,EQ0007,2023-01-06,2023-01-06 08:00:00,2023-01-07 14:36:00,30.6,Hydraulic,Engine,Root cause analysis: Operator error,Reactive,14761.19
DT00074,EQ0007,2024-08-02,2024-08-02 08:00:00,2024-08-04 11:12:36,51.21,Mechanical,Alternator,Root cause analysis: Design flaw,Reactive,39497.49
DT00075,EQ0007,2024-02-10,2024-02-10 04:00:00,2024-02-11 11:45:36,31.76,Electrical,Brake System,Root cause analysis: Operator error,Reactive,4034.79
DT00076,EQ0007,2023-12-06,2023-12-06 05:00:00,2023-12-08 14:28:48,57.48,Engine,Transmission,Root cause analysis: Material fatigue,Reactive,34589.56
DT00077,EQ0007,2025-04-04,2025-04-04 08:00:00,2025-04-07 03:59:24,67.99,Engine,Transmission,Root cause analysis: External damage,Preventive,2473.11
DT00078,EQ0007,2025-06-03,2025-06-03 05:00:00,2025-06-05 10:25:12,53.42,Mechanical,Transmission,Root cause analysis: Operator error,Preventive,48114.6
DT00079,EQ0007,2023-02-12,2023-02-12 05:00:00,2023-02-15 04:58:12,71.97,Structural,Engine,Root cause analysis: Operator error,Reactive,23789.79
DT00080,EQ0007,2025-06-24,2025-06-24 03:00:00,2025-06-26 21:07:48,66.13,Structural,Fuel System,Root cause analysis: Material fatigue,Reactive,48468.23
DT00081,EQ0007,2025-08-20,2025-08-20 06:00:00,2025-08-21 08:21:36,26.36,Hydraulic,Transmission,Root cause analysis: Operator error,Reactive,16825.28
DT00082,EQ0007,2025-10-11,2025-10-11 07:00:00,2025-10-12 05:10:48,22.18,Structural,Engine,Root cause analysis: Material fatigue,Reactive,4858.96
DT00083,EQ0007,2024-05-31,2024-05-31 07:00:00,2024-06-01 07:37:48,24.63,Structural,Engine,Root cause analysis: External damage,Reactive,23367.83
DT00084,EQ0007,2023-04-22,2023-04-22 06:00:00,2023-04-22 21:07:48,15.13,Structural,Undercarriage,Root cause analysis: Material fatigue,Reactive,38119.53
DT00085,EQ0007,2024-02-21,2024-02-21 03:00:00,2024-02-21 23:41:24,20.69,Hydraulic,Undercarriage,Root cause analysis: Material fatigue,Predictive,6510.59
DT00086,EQ0007,2024-05-05,2024-05-05 05:00:00,2024-05-07 08:40:48,51.68,Structural,Engine,Root cause analysis: External damage,Reactive,20695.54
DT00087,EQ0007,2024-04-05,2024-04-05 02:00:00,2024-04-08 01:27:36,71.46,Engine,Transmission,Root cause analysis: Operator error,Reactive,25169.59
DT00088,EQ0007,2024-08-20,2024-08-20 05:00:00,2024-08-21 18:37:12,37.62,Engine,Undercarriage,Root cause analysis: Material fatigue,Preventive,12564.68
DT00089,EQ0008,2025-02-24,2025-02-24 03:00:00,2025-02-24 18:20:24,15.34,Mechanical,Brake System,Root cause analysis: Material fatigue,Reactive,17323.82
DT00090,EQ0008,2025-11-05,2025-11-05 01:00:00,2025-11-05 21:42:00,20.7,Hydraulic,Brake System,Root cause analysis: External damage,Predictive,29206.21
DT00091,EQ0008,2025-09-29,2025-09-29 08:00:00,2025-10-01 22:34:12,62.57,Structural,Undercarriage,Root cause analysis: Design flaw,Predictive,16955.78
DT00092,EQ0008,2025-02-11,2025-02-11 06:00:00,2025-02-12 15:52:12,33.87,Electrical,Alternator,Root cause analysis: External damage,Reactive,19457.06
DT00093,EQ0008,2025-04-21,2025-04-21 08:00:00,2025-04-21 13:03:36,5.06,Engine,Fuel System,Root cause analysis: Operator error,Reactive,25018.77
DT00094,EQ0008,2023-03-17,2023-03-17 06:00:00,2023-03-17 16:50:24,10.84,Mechanical,Undercarriage,Root cause analysis: Wear and tear,Reactive,26534.58
DT00095,EQ0008,2025-07-24,2025-07-24 03:00:00,2025-07-24 06:04:12,3.07,Engine,Hydraulic Pump,Root cause analysis: Wear and tear,Reactive,23739.78
DT00096,EQ0008,2024-06-26,2024-06-26 07:00:00,2024-06-27 08:42:00,25.7,Mechanical,Cooling System,Root cause analysis: External damage,Reactive,19310.47
DT00097,EQ0008,2024-10-10,2024-10-10 08:00:00,2024-10-12 05:52:48,45.88,Structural,Engine,Root cause analysis: External damage,Preventive,3886.83
DT00098,EQ0009,2024-04-10,2024-04-10 07:00:00,2024-04-12 13:16:12,54.27,Mechanical,Transmission,Root cause analysis: Material fatigue,Reactive,8735.06
DT00099,EQ0009,2024-09-05,2024-09-05 01:00:00,2024-09-07 18:14:24,65.24,Hydraulic,Engine,Root cause analysis: Design flaw,Reactive,18243.94
DT00100,EQ0009,2025-06-01,2025-06-01 07:00:00,2025-06-01 19:11:24,12.19,Structural,Hydraulic Pump,Root cause analysis: Operator error,Reactive,9165.93
DT00101,EQ0009,2025-02-22,2025-02-22 04:00:00,2025-02-24 01:22:48,45.38,Engine,Bucket,Root cause analysis: Operator error,Predictive,11993.33
DT00102,EQ0009,2024-06-04,2024-06-04 01:00:00,2024-06-05 11:10:12,34.17,Engine,Brake System,Root cause analysis: External damage,Reactive,8319.79
DT00103,EQ0009,2025-06-23,2025-06-23 05:00:00,2025-06-26 01:10:12,68.17,Engine,Brake System,Root cause analysis: Material fatigue,Reactive,42342.54
DT00104,EQ0009,2024-02-12,2024-02-12 08:00:00,2024-02-15 07:57:36,71.96,Mechanical,Alternator,Root cause analysis: Material fatigue,Reactive,28810.17
DT00105,EQ0009,2024-08-28,2024-08-28 05:00:00,2024-08-31 04:29:24,71.49,Mechanical,Fuel System,Root cause analysis: Design flaw,Predictive,900.85
DT00106,EQ0009,2023-04-11,2023-04-11 08:00:00,2023-04-14 01:44:24,65.74,Hydraulic,Alternator,Root cause analysis: External damage,Reactive,40195.63
DT00107,EQ0009,2024-03-24,2024-03-24 05:00:00,2024-03-26 03:33:36,46.56,Electrical,Transmission,Root cause analysis: Wear and tear,Preventive,15792.18
DT00108,EQ0009,2025-06-21,2025-06-21 06:00:00,2025-06-21 10:20:24,4.34,Electrical,Transmission,Root cause analysis: Design flaw,Preventive,16672.6
DT00109,EQ0009,2025-04-30,2025-04-30 03:00:00,2025-04-30 17:17:24,14.29,Structural,Cooling System,Root cause analysis: External damage,Reactive,25338.84
DT00110,EQ0009,2024-07-12,2024-07-12 05:00:00,2024-07-14 17:07:48,60.13,Engine,Brake System,Root cause analysis: Design flaw,Preventive,40309.51
DT00111,EQ0009,2025-08-17,2025-08-17 03:00:00,2025-08-20 00:24:00,69.4,Electrical,Fuel System,Root cause analysis: External damage,Reactive,18605.86
DT00112,EQ0010,2023-01-29,2023-01-29 02:00:00,2023-01-29 22:30:36,20.51,Engine,Cooling System,Root cause analysis: Design flaw,Preventive,29435.72
DT00113,EQ0010,2025-01-30,2025-01-30 04:00:00,2025-01-30 13:34:48,9.58,Engine,Engine,Root cause analysis: External damage,Preventive,44269.62
DT00114,EQ0010,2024-11-02,2024-11-02 04:00:00,2024-11-04 22:04:12,66.07,Mechanical,Undercarriage,Root cause analysis: Design flaw,Reactive,32637.35
DT00115,EQ0010,2023-08-27,2023-08-27 01:00:00,2023-08-27 12:46:48,11.78,Hydraulic,Undercarriage,Root cause analysis: Wear and tear,Reactive,5311.0
DT00116,EQ0010,2023-10-05,2023-10-05 06:00:00,2023-10-06 11:12:36,29.21,Structural,Fuel System,Root cause analysis: External damage,Preventive,37242.32
DT00117,EQ0010,2023-11-13,2023-11-13 02:00:00,2023-11-15 17:58:48,63.98,Engine,Bucket,Root cause analysis: Material fatigue,Reactive,46983.13
DT00118,EQ0010,2024-07-26,2024-07-26 06:00:00,2024-07-26 10:17:24,4.29,Electrical,Undercarriage,Root cause analysis: Material fatigue,Reactive,47552.48
DT00119,EQ0010,2025-01-12,2025-01-12 06:00:00,2025-01-12 14:57:00,8.95,Structural,Cooling System,Root cause analysis: Wear and tear,Reactive,20207.91
DT00120,EQ0010,2024-01-24,2024-01-24 08:00:00,2024-01-27 05:46:12,69.77,Mechanical,Alternator,Root cause analysis: External damage,Reactive,48569.12
DT00121,EQ0010,2023-04-14,2023-04-14 04:00:00,2023-04-16 13:04:48,57.08,Electrical,Bucket,Root cause analysis: Operator error,Preventive,3896.2
DT00122,EQ0010,2024-02-29,2024-02-29 04:00:00,2024-03-01 23:03:00,43.05,Hydraulic,Hydraulic Pump,Root cause analysis: External damage,Reactive,640.36
DT00123,EQ0010,2023-10-24,2023-10-24 05:00:00,2023-10-27 04:07:48,71.13,Electrical,Transmission,Root cause analysis: Wear and tear,Reactive,7024.26
DT00124,EQ0010,2025-01-03,2025-01-03 04:00:00,2025-01-05 13:18:00,57.3,Structural,Cooling System,Root cause analysis: Wear and tear,Reactive,9125.19
DT00125,EQ0010,2023-04-18,2023-04-18 07:00:00,2023-04-18 17:52:12,10.87,Structural,Transmission,Root cause analysis: Wear and tear,Preventive,24074.18
DT00126,EQ0010,2025-01-11,2025-01-11 02:00:00,2025-01-12 15:55:48,37.93,Engine,Boom,Root cause analysis: Operator error,Reactive,47298.07
DT00127,EQ0010,2023-03-30,2023-03-30 05:00:00,2023-04-01 09:54:36,52.91,Engine,Engine,Root cause analysis: Wear and tear,Preventive,49930.04
DT00128,EQ0010,2025-04-02,2025-04-02 02:00:00,2025-04-03 09:50:24,31.84,Engine,Undercarriage,Root cause analysis: Wear and tear,Reactive,45013.7
DT00129,EQ0011,2023-10-31,2023-10-31 05:00:00,2023-10-31 11:36:00,6.6,Structural,Bucket,Root cause analysis: External damage,Predictive,35751.56
DT00130,EQ0011,2025-02-19,2025-02-19 05:00:00,2025-02-22 04:37:12,71.62,Engine,Boom,Root cause analysis: External damage,Reactive,21794.87
DT00131,EQ0011,2023-08-23,2023-08-23 04:00:00,2023-08-25 17:42:00,61.7,Engine,Undercarriage,Root cause analysis: Operator error,Reactive,20983.77
DT00132,EQ0011,2025-07-17,2025-07-17 02:00:00,2025-07-18 07:54:36,29.91,Hydraulic,Fuel System,Root cause analysis: Design flaw,Reactive,33422.84
DT00133,EQ0011,2025-02-05,2025-02-05 08:00:00,2025-02-08 04:45:00,68.75,Mechanical,Transmission,Root cause analysis: Wear and tear,Predictive,5114.89
DT00134,EQ0011,2023-07-17,2023-07-17 06:00:00,2023-07-19 12:07:12,54.12,Electrical,Boom,Root cause analysis: Wear and tear,Preventive,29530.02
DT00135,EQ0011,2024-11-06,2024-11-06 07:00:00,2024-11-08 07:54:00,48.9,Hydraulic,Fuel System,Root cause analysis: Wear and tear,Reactive,48435.73
DT00136,EQ0011,2024-10-01,2024-10-01 04:00:00,2024-10-02 06:37:12,26.62,Electrical,Undercarriage,Root cause analysis: Operator error,Preventive,42440.1
DT00137,EQ0011,2024-12-18,2024-12-18 06:00:00,2024-12-20 19:10:48,61.18,Mechanical,Brake System,Root cause analysis: External damage,Preventive,11694.88
DT00138,EQ0011,2025-05-28,2025-05-28 01:00:00,2025-05-30 14:09:36,61.16,Structural,Brake System,Root cause analysis: Wear and tear,Reactive,9430.6
DT00139,EQ0011,2024-09-24,2024-09-24 06:00:00,2024-09-27 00:30:36,66.51,Mechanical,Hydraulic Pump,Root cause analysis: Operator error,Reactive,28532.89
DT00140,EQ0011,2025-03-31,2025-03-31 01:00:00,2025-03-31 07:52:12,6.87,Mechanical,Boom,Root cause analysis: Operator error,Reactive,19121.62
DT00141,EQ0011,2025-07-18,2025-07-18 06:00:00,2025-07-19 07:51:36,25.86,Hydraulic,Cooling System,Root cause analysis: External damage,Reactive,30013.08
DT00142,EQ0011,2023-04-18,2023-04-18 01:00:00,2023-04-18 13:53:24,12.89,Mechanical,Brake System,Root cause analysis: Material fatigue,Preventive,33265.97
DT00143,EQ0011,2025-09-21,2025-09-21 07:00:00,2025-09-23 03:30:00,44.5,Hydraulic,Alternator,Root cause analysis: External damage,Predictive,6133.97
DT00144,EQ0012,2023-08-16,2023-08-16 08:00:00,2023-08-17 05:49:48,21.83,Structural,Brake System,Root cause analysis: Wear and tear,Preventive,11415.66
DT00145,EQ0012,2023-04-23,2023-04-23 05:00:00,2023-04-23 07:32:24,2.54,Electrical,Hydraulic Pump,Root cause analysis: Design flaw,Reactive,14827.63
DT00146,EQ0012,2023-09-03,2023-09-03 07:00:00,2023-09-03 09:32:24,2.54,Electrical,Hydraulic Pump,Root cause analysis: Material fatigue,Reactive,26862.83
DT00147,EQ0012,2024-04-16,2024-04-16 06:00:00,2024-04-17 19:01:12,37.02,Mechanical,Fuel System,Root cause analysis: Wear and tear,Preventive,22092.87
DT00148,EQ0012,2025-07-30,2025-07-30 06:00:00,2025-08-02 00:28:48,66.48,Structural,Fuel System,Root cause analysis: External damage,Preventive,20518.93
DT00149,EQ0012,2025-05-05,2025-05-05 07:00:00,2025-05-06 05:16:12,22.27,Mechanical,Cooling System,Root cause analysis: Operator error,Preventive,40165.45
DT00150,EQ0012,2025-07-31,2025-07-31 06:00:00,2025-08-02 18:14:24,60.24,Mechanical,Fuel System,Root cause analysis: Wear and tear,Preventive,12544.17
DT00151,EQ0012,2025-03-31,2025-03-31 07:00:00,2025-04-01 21:40:48,38.68,Hydraulic,Cooling System,Root cause analysis: Operator error,Preventive,16986.9
DT00152,EQ0012,2023-12-11,2023-12-11 02:00:00,2023-12-11 09:21:00,7.35,Structural,Boom,Root cause analysis: Operator error,Reactive,45343.18
DT00153,EQ0012,2024-12-16,2024-12-16 03:00:00,2024-12-17 05:34:48,26.58,Electrical,Transmission,Root cause analysis: Operator error,Reactive,13170.43
DT00154,EQ0012,2023-12-22,2023-12-22 02:00:00,2023-12-23 22:10:12,44.17,Electrical,Undercarriage,Root cause analysis: Material fatigue,Preventive,37845.07
DT00155,EQ0012,2025-07-08,2025-07-08 06:00:00,2025-07-10 07:40:48,49.68,Hydraulic,Hydraulic Pump,Root cause analysis: Material fatigue,Preventive,3880.17
DT00156,EQ0012,2025-06-24,2025-06-24 05:00:00,2025-06-26 03:12:00,46.2,Structural,Engine,Root cause analysis: Design flaw,Reactive,25613.18
DT00157,EQ0012,2024-09-27,2024-09-27 01:00:00,2024-09-28 11:19:12,34.32,Mechanical,Cooling System,Root cause analysis: Design flaw,Reactive,4298.18
DT00158,EQ0012,2023-07-04,2023-07-04 07:00:00,2023-07-06 04:03:00,45.05,Engine,Bucket,Root cause analysis: External damage,Preventive,47734.46
DT00159,EQ0012,2023-03-26,2023-03-26 04:00:00,2023-03-27 13:28:48,33.48,Hydraulic,Bucket,Root cause analysis: Material fatigue,Reactive,25317.68
DT00160,EQ0012,2023-05-07,2023-05-07 06:00:00,2023-05-08 15:32:24,33.54,Mechanical,Boom,Root cause analysis: Operator error,Reactive,2437.54
DT00161,EQ0012,2025-06-15,2025-06-15 03:00:00,2025-06-18 02:22:12,71.37,Hydraulic,Cooling System,Root cause analysis: Design flaw,Reactive,19677.12
DT00162,EQ0013,2023-04-18,2023-04-18 06:00:00,2023-04-20 15:15:00,57.25,Mechanical,Cooling System,Root cause analysis: Wear and tear,Preventive,28119.18
DT00163,EQ0013,2025-03-02,2025-03-02 03:00:00,2025-03-03 00:53:24,21.89,Hydraulic,Transmission,Root cause analysis: External damage,Preventive,33348.8
DT00164,EQ0013,2024-12-17,2024-12-17 07:00:00,2024-12-18 06:43:12,23.72,Electrical,Bucket,Root cause analysis: Wear and tear,Reactive,15824.3
DT00165,EQ0013,2025-02-10,2025-02-10 06:00:00,2025-02-12 05:02:24,47.04,Electrical,Boom,Root cause analysis: Wear and tear,Preventive,32478.23
DT00166,EQ0013,2025-05-17,2025-05-17 01:00:00,2025-05-18 14:35:24,37.59,Hydraulic,Brake System,Root cause analysis: Operator error,Reactive,47582.88
DT00167,EQ0013,2024-11-30,2024-11-30 08:00:00,2024-12-03 04:20:24,68.34,Electrical,Alternator,Root cause analysis: Operator error,Reactive,8169.79
DT00168,EQ0013,2024-08-28,2024-08-28 02:00:00,2024-08-30 15:06:36,61.11,Structural,Boom,Root cause analysis: External damage,Preventive,2368.5
