part_id,part_name,part_category,equipment_compatibility,unit_cost,reorder_point,reorder_quantity,lead_time_days,supplier_id
SP00092,Filter Type-92,High,EQ0032,937.82,14,28,10,SUP013
SP00093,Bolt Type-93,High,EQ0041,214.7,16,32,10,SUP010
SP00094,Bearing Type-94,Medium,EQ0025,415.35,7,14,21,SUP001
SP00095,Cylinder Type-95,Medium,EQ0026,151.51,8,16,21,SUP005
SP00096,Belt Type-96,Low,EQ0016,284.32,6,12,13,SUP019
SP00097,Seal Type-97,Low,EQ0035,486.74,8,16,14,SUP005
SP00098,Bearing Type-98,High,EQ0020,664.82,11,22,7,SUP017
SP00099,Seal Type-99,Low,EQ0037,498.06,5,10,17,SUP006
SP00100,Hose Type-100,Critical,EQ0021,3008.03,13,26,5,SUP005
SP00101,Bolt Type-101,Critical,EQ0020,3944.46,23,46,9,SUP015
SP00102,Bolt Type-102,Medium,EQ0009,118.38,6,12,8,SUP006
SP00103,Filter Type-103,Medium,EQ0015,322.52,6,12,16,SUP008
SP00104,Wire Type-104,Critical,EQ0033,2116.68,25,50,5,SUP020
SP00105,Valve Type-105,Medium,EQ0031,132.79,9,18,14,SUP005
SP00106,Seal Type-106,High,EQ0018,381.02,18,36,5,SUP014
SP00107,Bearing Type-107,High,EQ0029,806.22,7,14,7,SUP020
SP00108,Valve Type-108,Medium,EQ0026,440.05,6,12,13,SUP002
SP00109,Sensor Type-109,Low,EQ0048,374.09,9,18,16,SUP019
SP00110,Sensor Type-110,Critical,EQ0003,2842.92,24,48,10,SUP008
SP00111,Cylinder Type-111,Low,EQ0025,492.72,3,6,15,SUP017
SP00112,Brake Pad Type-112,Critical,EQ0020,1354.33,24,48,9,SUP010
SP00113,Valve Type-113,High,EQ0010,537.97,6,12,13,SUP015
SP00114,Wire Type-114,Low,EQ0050,90.7,4,8,9,SUP019
SP00115,Bolt Type-115,High,EQ0002,514.45,15,30,12,SUP006
SP00116,Valve Type-116,High,EQ0021,906.04,7,14,9,SUP006
SP00117,Bolt Type-117,Critical,EQ0006,910.36,24,48,8,SUP017
SP00118,Bolt Type-118,Low,EQ0036,377.09,5,10,13,SUP013
SP00119,Filter Type-119,High,EQ0010,929.8,9,18,7,SUP006
SP00120,Brake Pad Type-120,Critical,EQ0019,2388.12,19,38,10,SUP006
SP00121,Belt Type-121,High,EQ0049,968.35,5,10,14,SUP009
SP00122,Filter Type-122,Low,EQ0001,273.93,10,20,15,SUP020
SP00123,Valve Type-123,High,EQ0027,373.5,20,40,12,SUP015
SP00124,Belt Type-124,Critical,EQ0040,1601.21,27,54,7,SUP018
SP00125,Bearing Type-125,Critical,EQ0003,1331.78,11,22,8,SUP005
SP00126,Filter Type-126,Medium,EQ0007,199.0,4,8,7,SUP014
SP00127,Seal Type-127,High,EQ0048,737.67,10,20,12,SUP019
SP00128,Hose Type-128,Critical,EQ0024,919.07,19,38,8,SUP013
SP00129,Belt Type-129,Low,EQ0031,429.49,4,8,11,SUP005
SP00130,Belt Type-130,Medium,EQ0014,198.14,9,18,15,SUP007
SP00131,Sensor Type-131,Critical,EQ0031,991.86,30,60,4,SUP020
SP00132,Brake Pad Type-132,Medium,EQ0034,242.17,8,16,11,SUP019
SP00133,Sensor Type-133,Medium,EQ0047,467.2,10,20,15,SUP016
SP00134,Valve Type-134,High,EQ0013,906.93,12,24,9,SUP001
SP00135,Belt Type-135,Critical,EQ0040,2591.99,13,26,6,SUP014
SP00136,Pump Type-136,Critical,EQ0001,2002.07,27,54,6,SUP007
SP00137,Bolt Type-137,Medium,EQ0020,164.49,4,8,11,SUP017
SP00138,Cylinder Type-138,Medium,EQ0022,395.16,4,8,17,SUP011
SP00139,Pump Type-139,Critical,EQ0022,4244.19,16,32,8,SUP016
SP00140,Valve Type-140,Critical,EQ0041,3405.43,25,50,5,SUP015
SP00141,Cylinder Type-141,Medium,EQ0048,258.11,9,18,21,SUP002
SP00142,Cylinder Type-142,Medium,EQ0035,304.22,8,16,15,SUP001
SP00143,Bearing Type-143,Medium,EQ0010,409.79,8,16,8,SUP009
SP00144,Filter Type-144,Medium,EQ0039,492.63,5,10,16,SUP013
SP00145,Seal Type-145,Critical,EQ0046,4390.67,19,38,8,SUP002
SP00146,Gasket Type-146,Low,EQ0029,89.06,6,12,12,SUP010
SP00147,Bearing Type-147,Medium,EQ0003,128.76,8,16,19,SUP007
SP00148,Belt Type-148,Low,EQ0033,277.7,10,20,21,SUP005
SP00149,Bearing Type-149,Medium,EQ0021,465.64,7,14,19,SUP005
SP00150,Brake Pad Type-150,Critical,EQ0014,4199.62,26,52,5,SUP002
SP00151,Valve Type-151,Low,EQ0020,371.15,4,8,7,SUP002
SP00152,Wire Type-152,Critical,EQ0034,1999.8,11,22,4,SUP010
SP00153,Filter Type-153,Medium,EQ0013,337.48,6,12,12,SUP007
SP00154,Gasket Type-154,Medium,EQ0008,289.52,10,20,17,SUP009
SP00155,Seal Type-155,High,EQ0036,418.91,5,10,14,SUP017
SP00156,Belt Type-156,High,EQ0010,634.02,15,30,9,SUP010
SP00157,Sensor Type-157,High,EQ0022,337.02,14,28,14,SUP018
SP00158,Valve Type-158,Critical,EQ0007,1085.33,25,50,3,SUP013
SP00159,Filter Type-159,Critical,EQ0040,2419.1,15,30,10,SUP012
SP00160,Gasket Type-160,Medium,EQ0049,417.85,4,8,21,SUP015
SP00161,Sensor Type-161,High,EQ0030,274.33,19,38,6,SUP010
SP00162,Wire Type-162,Low,EQ0040,261.75,6,12,9,SUP009
SP00163,Hose Type-163,Low,EQ0021,132.51,8,16,19,SUP015
SP00164,Valve Type-164,Critical,EQ0031,794.14,13,26,8,SUP015
SP00165,Seal Type-165,Medium,EQ0007,395.57,5,10,15,SUP013
SP00166,Bolt Type-166,Critical,EQ0020,1966.41,30,60,4,SUP018
SP00167,Valve Type-167,Low,EQ0016,315.74,6,12,16,SUP018
SP00168,Seal Type-168,Low,EQ0045,222.72,8,16,10,SUP019
SP00169,Pump Type-169,Low,EQ0045,305.25,8,16,15,SUP008
SP00170,Seal Type-170,Critical,EQ0008,3827.15,28,56,10,SUP019
SP00171,Sensor Type-171,Low,EQ0029,196.42,4,8,20,SUP006
SP00172,Gasket Type-172,Low,EQ0039,81.32,4,8,17,SUP013
SP00173,Hose Type-173,Low,EQ0014,340.25,3,6,8,SUP005
SP00174,Sensor Type-174,Critical,EQ0035,3906.85,14,28,10,SUP010
SP00175,Pump Type-175,Low,EQ0037,138.05,8,16,11,SUP010
SP00176,Pump Type-176,Medium,EQ0033,495.63,3,6,16,SUP013
SP00177,Seal Type-177,Medium,EQ0046,78.08,3,6,7,SUP018
SP00178,Hose Type-178,Critical,EQ0028,4375.62,10,20,6,SUP019
SP00179,Pump Type-179,Medium,EQ0028,370.3,9,18,13,SUP018
SP00180,Bearing Type-180,High,EQ0025,579.9,11,22,13,SUP012
SP00181,Pump Type-181,High,EQ0001,430.78,9,18,7,SUP003
SP00182,Wire Type-182,Critical,EQ0009,1147.98,25,50,9,SUP003
SP00183,Seal Type-183,Low,EQ0012,437.07,9,18,16,SUP015
SP00184,Cylinder Type-184,Low,EQ0023,298.42,10,20,13,SUP008
SP00185,Seal Type-185,Low,EQ0047,322.06,10,20,20,SUP008
SP00186,Bolt Type-186,Medium,EQ0003,234.88,8,16,7,SUP019
SP00187,Valve Type-187,Medium,EQ0006,100.92,10,20,18,SUP005
SP00188,Bolt Type-188,Medium,EQ0040,259.22,4,8,15,SUP003
SP00189,Bearing Type-189,Low,EQ0041,333.8,4,8,17,SUP018
SP00190,Brake Pad Type-190,Medium,EQ0050,325.87,8,16,15,SUP001
SP00191,Valve Type-191,Low,EQ0047,280.7,10,20,16,SUP011
SP00192,Pump Type-192,Medium,EQ0011,482.26,7,14,11,SUP002
SP00193,Bolt Type-193,Medium,EQ0041,377.14,7,14,7,SUP016
SP00194,Sensor Type-194,High,EQ0002,658.29,14,28,14,SUP010
SP00195,Valve Type-195,Critical,EQ0017,1070.7,12,24,7,SUP005
SP00196,Sensor Type-196,Medium,EQ0048,173.85,7,14,7,SUP004
SP00197,Sensor Type-197,High,EQ0029,928.11,9,18,15,SUP012
SP00198,Brake Pad Type-198,High,EQ0012,409.0,12,24,12,SUP017
SP00199,Filter Type-199,Medium,EQ0010,492.83,5,10,16,SUP016
SP00200,Brake Pad Type-200,Low,EQ0029,396.67,6,12,17,SUP006
